Module name
DATABASE MGMT
PROJ MGT & COLLABORATIVE COMM
MOBILE APPLICATIONS DEVELOPMENT
DATA STRUCTURES & ALGORITHMS
APPLD NETWORKING TECH 2
ADV. PROCEDURAL PROGRAMMING
